n=20;
m=10;
d=IloIntArray2(env, n+1);
q=IloIntArray(env);
C=IloIntArray(env);
d[0]=IloIntArray(env, n+1,5000000,34,69,94,68,58,98,11,47,11,60,41,89,93,39,55,43,63,92,91,76);
d[1]=IloIntArray(env, n+1,66,5000000,97,26,38,84,95,30,93,68,10,73,39,33,77,22,66,32,33,60,34);
d[2]=IloIntArray(env, n+1,14,36,5000000,87,22,33,22,79,26,30,35,10,16,43,24,68,42,86,86,28,47);
d[3]=IloIntArray(env, n+1,45,62,36,5000000,32,57,99,45,39,64,61,15,68,98,87,41,76,41,89,35,75);
d[4]=IloIntArray(env, n+1,97,12,43,47,5000000,35,36,87,45,16,52,82,80,65,81,53,59,79,53,47,93);
d[5]=IloIntArray(env, n+1,90,50,41,86,96,5000000,40,85,34,20,67,83,20,20,13,54,53,36,80,46,99);
d[6]=IloIntArray(env, n+1,99,27,40,89,15,40,5000000,25,97,35,87,87,16,78,90,61,21,16,16,96,59);
d[7]=IloIntArray(env, n+1,23,66,49,25,34,58,96,5000000,66,56,58,12,97,57,10,16,92,44,42,80,18);
d[8]=IloIntArray(env, n+1,46,37,27,36,26,58,87,95,5000000,53,62,55,32,74,87,78,36,94,35,15,95);
d[9]=IloIntArray(env, n+1,14,63,94,27,85,64,70,67,83,5000000,99,64,58,24,38,97,30,18,11,88,90);
d[10]=IloIntArray(env, n+1,94,86,73,47,68,39,46,84,38,33,5000000,10,23,65,49,66,81,41,82,62,67);
d[11]=IloIntArray(env, n+1,12,10,70,14,46,91,25,42,43,94,50,5000000,48,64,27,67,69,46,16,39,90);
d[12]=IloIntArray(env, n+1,57,19,58,26,22,87,19,99,66,68,92,23,5000000,70,12,34,12,35,91,95,38);
d[13]=IloIntArray(env, n+1,50,87,66,53,94,11,18,12,90,34,74,19,88,5000000,93,38,50,93,78,22,22);
d[14]=IloIntArray(env, n+1,89,42,51,81,62,42,57,96,60,37,74,78,64,74,5000000,29,78,82,50,28,83);
d[15]=IloIntArray(env, n+1,51,11,23,54,25,35,63,98,97,48,36,57,49,63,50,5000000,12,50,25,94,22);
d[16]=IloIntArray(env, n+1,67,71,97,83,92,17,75,96,75,31,26,45,81,47,22,44,5000000,96,34,29,54);
d[17]=IloIntArray(env, n+1,47,32,31,95,90,96,29,18,15,84,74,35,68,48,65,45,69,5000000,24,90,19);
d[18]=IloIntArray(env, n+1,50,26,51,30,80,81,35,92,63,31,94,54,57,67,72,49,36,40,5000000,53,59);
d[19]=IloIntArray(env, n+1,42,63,44,26,75,85,22,44,49,33,80,84,35,73,57,78,35,28,31,5000000,20);
d[20]=IloIntArray(env, n+1,55,19,53,85,30,85,14,52,81,37,17,36,27,72,66,53,24,21,46,36,5000000);
q=IloIntArray(env, n+1,0,52,34,43,78,38,75,78,55,65,58,50,34,48,94,36,27,17,60,41,92);
C=IloIntArray(env, m,321,287,275,294,327,309,300,328,299,330);
