n=20;
m=10;
d=IloIntArray2(env, n+1);
q=IloIntArray(env);
C=IloIntArray(env);
d[0]=IloIntArray(env, n+1,5000000,52,70,65,38,40,87,80,90,13,15,54,39,74,85,37,35,77,52,99,52);
d[1]=IloIntArray(env, n+1,78,5000000,86,64,47,27,32,65,38,20,15,10,75,99,36,40,68,60,61,99,19);
d[2]=IloIntArray(env, n+1,63,76,5000000,93,67,73,83,54,86,94,57,64,31,59,99,13,66,81,80,52,27);
d[3]=IloIntArray(env, n+1,53,72,96,5000000,26,74,25,28,45,91,93,73,55,89,40,16,47,52,68,15,31);
d[4]=IloIntArray(env, n+1,38,44,26,88,5000000,36,21,85,73,13,90,56,74,37,89,95,99,35,82,31,79);
d[5]=IloIntArray(env, n+1,26,30,96,86,54,5000000,65,93,23,75,66,74,42,19,17,60,52,57,68,86,87);
d[6]=IloIntArray(env, n+1,51,65,28,44,64,79,5000000,45,20,54,11,20,16,83,47,86,44,49,35,54,32);
d[7]=IloIntArray(env, n+1,90,67,92,67,38,37,48,5000000,72,85,28,73,39,15,81,49,32,36,87,94,80);
d[8]=IloIntArray(env, n+1,23,80,65,97,89,24,53,71,5000000,70,34,81,83,25,43,26,47,42,51,23,78);
d[9]=IloIntArray(env, n+1,23,33,90,63,56,19,31,55,96,5000000,61,38,89,44,43,49,76,83,59,26,63);
d[10]=IloIntArray(env, n+1,85,23,11,75,75,47,97,52,48,57,5000000,59,83,32,16,26,57,37,10,94,52);
d[11]=IloIntArray(env, n+1,15,55,20,43,40,89,81,17,73,23,79,5000000,91,60,33,93,63,73,40,19,85);
d[12]=IloIntArray(env, n+1,35,32,82,96,40,63,40,31,22,32,13,62,5000000,97,76,19,24,51,80,33,19);
d[13]=IloIntArray(env, n+1,32,38,63,22,85,38,18,73,96,73,90,75,40,5000000,18,89,68,71,20,33,27);
d[14]=IloIntArray(env, n+1,80,15,11,26,77,39,30,69,62,41,79,21,61,92,5000000,80,44,36,61,42,54);
d[15]=IloIntArray(env, n+1,94,60,42,49,45,49,91,41,45,18,50,51,14,33,42,5000000,48,85,37,69,51);
d[16]=IloIntArray(env, n+1,33,78,36,35,91,81,28,39,35,79,47,56,18,99,28,78,5000000,38,28,77,94);
d[17]=IloIntArray(env, n+1,88,80,21,87,15,75,30,57,81,98,84,24,55,13,64,84,99,5000000,11,54,44);
d[18]=IloIntArray(env, n+1,27,48,83,92,72,16,15,75,60,86,20,98,56,23,63,30,72,56,5000000,68,91);
d[19]=IloIntArray(env, n+1,35,15,34,54,27,42,43,43,78,53,93,49,65,64,25,72,51,64,53,5000000,78);
d[20]=IloIntArray(env, n+1,15,32,73,95,98,27,15,22,46,49,70,54,95,96,37,60,95,46,57,78,5000000);
q=IloIntArray(env, n+1,0,69,20,16,78,25,38,76,33,39,11,80,66,24,72,61,50,22,67,44,65);
C=IloIntArray(env, m,276,332,310,291,298,302,284,272,287,297);
